Frequencia,Corrente,PressaoRecalque,PressaoRetaguarda,Setpoint,Rendimento
52.89,73.6,48.3637,11.2977,47.4826,0.660296
53.44,75.8,47.1398,10.1628,47.4826,0.64525
52.6,73.1,46.8207,10.9701,47.4826,0.651249
53.19,73.7,47.8537,10.4427,47.4826,0.662213
53.42,75.1,47.5499,10.3125,47.4826,0.650124
52.61,73.9,47.0551,11.0525,47.4826,0.647476
52.4,72.6,48.2096,12.1094,47.4826,0.657267
52.05,71.9,46.3281,11.2218,47.4826,0.644426
52.35,71.8,47.4349,11.4887,47.4826,0.657056
52.63,72.4,47.2396,11.1393,47.4826,0.655683
53.21,73.7,47.3134,10.4839,47.4826,0.649701
52.28,71.8,47.0898,11.3173,47.4826,0.651816
53.1,73.9,48.1185,11.2999,47.4826,0.646611
51.11,70.1,46.1979,12.5087,47.4826,0.642541
52.1,72.1,46.8793,11.3759,47.4826,0.65206
52.82,73.1,47.7018,11.0807,47.4826,0.656838
53.16,73.7,47.6649,10.8355,47.4826,0.64667
53.16,74.4,48.342,10.9918,47.4826,0.651248
53.17,73.9,47.895,10.5968,47.4826,0.659657
51.92,72,46.8338,11.6819,47.4826,0.650837
53.12,74.3,47.6107,10.8572,47.4826,0.640393
51.78,71.8,47.6649,12.0638,48.3352,0.661666
52.81,73.4,48.0794,11.2869,48.3352,0.663916
53.43,75,48.2791,11.2739,48.3352,0.637213
52.66,73,48.572,12.003,48.3352,0.649591
53.18,73.8,48.4397,11.3694,48.3352,0.642086
52.81,73.5,48.776,12.0681,48.3352,0.648125
52.85,73.6,48.2639,11.6862,48.3352,0.646788
52.49,73.3,47.8537,11.9792,48.3352,0.650963
52.53,73,47.9275,11.8511,49.1791,0.640902
53.13,74.2,48.6589,11.7839,49.1791,0.640736
52.45,72.4,48.0968,12.1723,49.1791,0.650183
50.92,70,47.1723,13.303,49.1791,0.653611
51.95,71.6,47.6063,12.474,49.1791,0.655881
53.15,74.2,49.3056,12.4891,49.1791,0.647354
52.88,73.1,49.1341,12.4523,49.1791,0.648661
52.81,72.8,49.0538,12.1788,49.1791,0.656177
53.4,75.4,47.9622,11.0156,49.1791,0.644956
54.59,78.8,49.2904,10.2713,49.1791,0.654678
55.45,82.1,48.8824,9.16667,49.143,0.643047
54.38,78.1,48.8585,10.319,49.143,0.660623
55.28,80.7,49.1189,9.54644,49.143,0.647761
54.54,76.6,48.7478,10.2452,49.143,0.643193
53.97,77.2,48.5286,10.6163,49.143,0.65914
55.2,79.9,49.668,9.9566,49.143,0.648258
56.21,83.3,50.6554,9.48568,49.143,0.647447
56.22,81.7,50.7921,9.63108,49.143,0.643923
56.03,82.8,51.2088,10.2669,49.143,0.649002
55.21,79.8,50.5208,10.5946,49.143,0.649773
53.91,76.7,49.1775,11.3932,49.143,0.6579
52.25,72.7,47.5781,12.092,49.143,0.653533
53.17,75.1,47.8581,11.2912,49.143,0.653037
54.21,77.5,48.5525,10.421,49.143,0.653972
55.19,81.3,49.8698,10.178,49.143,0.651386
54.48,77.5,49.2578,10.8051,49.143,0.634405
54.06,77.3,49.082,10.9505,49.143,0.651862
53.84,75.1,48.4332,11.0829,49.143,0.646446
54.67,79,48.5156,10.0369,49.143,0.645065
54.51,76.9,49.3424,10.5751,49.143,0.656934
54.47,77.7,48.9366,10.612,49.143,0.648854
53.9,75.2,48.1207,10.4731,49.143,0.630611
54.69,78.7,49.0343,10.4362,49.143,0.651423
54.46,76.3,49.3772,10.7335,49.143,0.650549
54.59,77.7,49.6202,10.4839,49.143,0.656221
53.73,76.1,48.724,11.3997,49.143,0.653265
52.99,74.6,47.895,11.7448,49.143,0.650359
54.02,76.4,49.0538,11.2109,49.1068,0.648873
54.67,77.7,49.2122,10.4666,49.1068,0.643805
54.21,77.1,49.1146,11.059,49.1068,0.654105
53.76,76.6,48.559,11.2305,49.1068,0.654827
54,76.9,49.3685,11.1784,47.9934,0.654093
52.53,73.9,48.3398,12.3568,47.9934,0.660173
53.68,77.1,48.0556,11.0655,47.9934,0.650831
52.42,73.4,48.1293,12.5174,47.9934,0.657204
53.46,76.2,48.2595,11.3607,47.9934,0.651684
52.83,74.1,47.7496,11.7535,47.9934,0.653432
53.2,75.3,48.3138,11.7318,46.88,0.657529
53.17,74.5,47.7648,11.5082,46.88,0.653979
53.17,75.4,48.7109,11.9705,46.88,0.658386
53.17,75.2,48.049,11.7036,46.88,0.648951
53.17,75.6,48.3789,11.7383,46.88,0.65568
53.17,75,48.7001,12.1788,46.0615,0.653941
53.17,75.2,48.852,12.1072,46.0615,0.656719
52.27,72.9,48.3442,13.0556,46.0615,0.658251
51.95,72,47.3806,12.7669,46.0615,0.647805
51.17,71.1,46.7101,13.1727,46.0615,0.65843
49.82,68.9,45.816,14.1168,46.0615,0.658839
50.81,70.5,46.0742,13.0013,46.0615,0.657223
49.43,68.4,45.1693,14.0017,46.0615,0.658015
50.81,70.6,47.4523,14.3685,46.0615,0.656854
49.59,67.8,46.0069,14.6636,46.0615,0.659108
49.36,68,45.714,14.5508,46.0615,0.657683
49.69,68,46.4171,14.6875,46.0615,0.662876
49.97,69.4,46.1328,14.0191,46.0615,0.656652
49.53,68.1,45.9288,14.6181,46.0615,0.656485
48.07,65.8,44.0777,14.6962,46.0615,0.658479
49.45,68.1,45.5664,14.1992,46.0615,0.661627
50.26,69.9,46.8316,14.3294,46.0615,0.659138
50.47,69.8,46.658,14.1536,46.0615,0.656129
49.87,68.7,46.3086,14.6506,46.0615,0.654014
48.97,67.1,46.0612,15.23,46.0615,0.665459
49.89,68.5,46.1675,14.2383,46.0253,0.653195
49.45,67.9,46.8099,15.3472,46.0253,0.667101
47.48,64.6,44.5161,16.1176,46.0253,0.65823
48.36,65.7,44.9132,15.2214,46.0253,0.656176
49.82,68.4,46.3194,14.5486,48.6892,0.655119
50.95,70.4,47.4718,14.2057,48.6892,0.651959
52.05,72.7,47.9905,13.6914,48.6892,0.641426
51.86,72.6,48.6762,14.0495,48.6892,0.654968
52.82,74.3,49.2231,13.3637,48.6892,0.649082
51.72,72.3,49.2752,14.681,48.6892,0.661427
52.13,72.9,48.6306,13.6176,48.6892,0.649601
51.82,72.5,48.4983,13.9627,48.6892,0.651266
52.49,73.5,49.1319,13.635,48.6892,0.65099
50.69,70.1,48.5026,15.2452,48.6892,0.658063
52.01,72.7,48.6979,13.9149,48.6892,0.649564
50.72,69.7,48.1424,15.0716,48.6892,0.65472
51.69,72.3,48.2704,13.9301,48.6892,0.653678
52.28,73.3,48.9345,13.5069,48.6892,0.656693
51.61,72.9,47.4457,13.4158,48.6892,0.658349
52.83,75,49.0625,12.9427,48.6892,0.657751
53.07,75.4,48.9366,12.7561,47.5758,0.655146
51.31,71.5,47.4674,14.0365,47.5758,0.648888
51.76,72.4,47.7192,13.6306,47.5758,0.657923
50.97,70.8,47.3069,14.1102,47.5758,0.660062
52.32,73.5,47.9601,12.895,48.4197,0.65817
52.68,74.6,48.8455,13.0317,48.4197,0.65632
52.94,75,48.6784,12.8147,48.4197,0.653415
52.63,74.7,49.1623,13.5655,48.4197,0.660005
51.07,71.9,48.2205,14.6701,48.4197,0.663872
52.09,73.5,48.1185,13.5829,48.4197,0.651249
51.22,71.7,48.4787,14.7635,48.2028,0.661247
51.15,70.8,47.73,14.0668,48.2028,0.666244
52.26,73.6,48.3247,13.2921,48.2028,0.660351
51.27,71.4,48.4353,14.6766,48.2028,0.668873
52.05,74,48.138,13.6024,48.2028,0.655557
51.44,72.5,47.6085,14.0734,48.2028,0.655482
51.96,73,47.7973,13.5894,48.2028,0.648332
52.29,73,48.8997,13.7674,48.2028,0.659102
50.7,71.4,47.9015,14.8568,48.2028,0.658959
52.29,73.5,48.4831,13.6003,49.0467,0.648744
52.08,73.5,49.2079,14.5204,49.0467,0.656018
52.77,74.6,49.2795,13.6914,49.0467,0.656312
51.94,73.2,48.6437,14.3793,49.0467,0.654253
52.71,74.3,49.3967,13.7826,49.0467,0.652595
52.16,73.9,48.6415,14.0082,49.0467,0.65308
52.26,73.9,48.6111,13.9714,49.0467,0.644467
51.93,73.2,48.8325,14.3229,49.0467,0.657668
52.51,74.2,49.286,14.1233,49.0467,0.650646
50.43,70.3,47.9427,15.6597,49.0467,0.658421
51.37,71.4,48.2747,14.5464,49.0467,0.656038
52.16,74.1,49.2122,14.4162,49.0467,0.657264
51.14,71.2,48.5352,15.1823,49.0467,0.661764
52.15,73.6,49.1797,14.451,49.0467,0.653526
51.46,72.6,48.4093,14.8893,49.0467,0.650714
51.51,72.1,48.9844,14.7938,49.0106,0.668646
52.16,73.6,49.2036,14.6181,49.0106,0.654116
51.68,72.3,49.566,14.9674,49.0106,0.663606
49.77,69.1,47.513,15.9918,49.0106,0.663197
50.94,71,47.7409,14.7049,49.0106,0.656618
52.04,73.5,49.0148,14.5681,49.0106,0.664808
51.79,73.1,49.3598,15.0651,49.0106,0.657849
51.41,72.1,49.0647,15.2409,49.0106,0.658116
52.64,74.3,49.7092,14.3924,47.8971,0.654506
52.37,74.1,50.1975,14.9913,47.8971,0.661268
52.01,72.9,49.3707,15.0022,47.8971,0.645709
50.06,69.4,47.7214,16.0612,47.8971,0.6545
50.21,70,46.6927,15.0174,47.8971,0.6501
50.84,70.3,48.3507,15.3798,47.8971,0.649358
48.78,66.7,47.0313,16.773,47.8971,0.662546
49.72,69.2,45.9874,14.7092,47.861,0.656186
50.45,70.4,47.385,15.0933,47.861,0.657025
50.21,69.5,47.2569,15.5599,47.861,0.653742
50.97,71,47.2873,14.4488,47.861,0.650623
49.35,68,46.8186,16.1133,47.861,0.661238
50.36,69.5,47.1875,15.1953,47.8249,0.650337
51.16,71.7,49.4076,16.1697,47.8249,0.656731
48.56,67,47.3503,17.424,47.8249,0.663999
47.25,65.2,45.0304,17.0247,47.8249,0.661513
48.29,66.9,44.8307,15.3733,45.1249,0.653862
48.66,67.7,45.9896,16.0265,45.1249,0.663724
46.57,63.6,44.158,16.9857,45.1249,0.667407
47.4,64.8,43.7174,15.1801,45.1249,0.666691
48.14,65.9,44.4293,15.2387,45.1249,0.66128
48.14,66.6,44.8329,15.8963,45.1249,0.656367
47.52,65.2,45.5556,17.0725,45.1249,0.669979
46.76,63.9,44.1081,16.7795,45.1249,0.659056
47.85,64.9,44.1797,14.9891,45.1249,0.665788
48.86,67.3,45.2214,14.9718,45.1249,0.666398
48.12,66.7,45.7617,16.6428,45.1249,0.660112
46.88,64.2,44.2339,16.8945,45.1249,0.657016
48.59,66.5,44.796,14.7873,45.1249,0.659862
49.14,68.3,45.3711,15.0608,45.1249,0.656759
46.76,64.1,44.477,17.4089,45.1249,0.647683
46.9,63.9,43.9431,16.1914,45.1249,0.671451
47.81,65.2,44.6354,15.4948,45.1249,0.665689
48.51,66.8,45.8811,15.9657,45.1249,0.665415
47.96,65.5,44.987,16.1589,45.1249,0.657932
48.42,67,44.6202,15.293,45.1249,0.651254
47.26,65,44.605,16.5495,45.1249,0.662975
48.26,66.1,45.1584,15.3798,45.1249,0.675855
49.12,67.9,46.0916,15.6445,45.1249,0.659875
49.15,67.8,45.6532,15.4319,45.1249,0.65199
47.7,65.2,44.7873,16.2326,45.1249,0.661663
48.75,66.9,45.5295,15.6272,45.1249,0.657732
48.41,66.4,45.2582,16.0655,45.1249,0.652508
48.04,66.1,44.5139,15.7964,45.1249,0.651004
48.12,65.7,45.2648,16.0655,45.1249,0.661289
48.49,66.9,44.8937,15.5035,45.1249,0.652238
48.79,66.9,46.0981,16.1545,45.1249,0.661874
47.83,66.2,45.0282,16.4518,45.1249,0.65833
48.16,66.5,44.4661,15.5512,45.1249,0.657064
48.73,68,46.1328,16.2891,45.1249,0.658189
48.68,66.8,45.6923,15.8464,45.1249,0.658559
46.95,64.1,44.2752,16.3889,45.1249,0.667761
48.23,66.5,43.75,14.4184,45.1249,0.666542
49.12,67.8,45.6163,15.23,44.0114,0.654955
48.31,66.9,45.4753,16.2174,44.0114,0.66316
48.14,66.1,45.8333,16.5473,44.0114,0.661353
48.07,65.9,45.2973,16.1111,44.0114,0.653771
46.97,64.1,44.5812,16.6363,44.0114,0.669203
46.5,63.6,42.2396,15.4905,44.0114,0.652615
47.87,66.1,43.8867,15.0977,44.0114,0.661007
47.48,65.7,44.4271,16.224,44.0114,0.664052
46.48,63.4,44.0603,17.2656,44.0114,0.661021
47.29,64.4,43.5135,15.3971,44.0114,0.666532
47.19,64.3,44.1667,16.0308,44.0114,0.666883
46.3,62.9,43.2335,16.3867,44.864,0.663364
47.2,64.8,43.6827,15.5903,44.864,0.664205
48.33,66.7,45.3711,15.6576,44.864,0.6683
47.9,66.6,45.1411,16.1892,44.864,0.665959
48.26,66.9,44.7374,15.4275,44.864,0.656812
46.94,64.9,44.3837,16.9206,44.864,0.6616
47.49,65.1,43.7023,15.497,44.864,0.65916
48.67,67.1,45.6467,15.5577,44.864,0.658815
47.62,65.3,45.4991,16.7188,43.7506,0.661678
46.9,63.5,43.444,16.0308,43.7506,0.655527
47.14,64.3,44.1493,16.1784,43.5337,0.653983
46.71,63.1,43.4245,16.1415,43.5337,0.660708
46.06,62.4,43.3377,16.8902,43.5337,0.665396
47.06,64.6,43.8021,15.7639,44.3863,0.664859
47.63,65.6,44.7266,16.25,44.3863,0.658751
48.09,66.3,44.7635,15.74,44.3863,0.657121
46.34,63.1,43.4158,16.556,44.3863,0.666121
47.7,65.5,44.9327,16.0612,44.3863,0.662106
47.05,64,43.7977,16.0156,44.3863,0.65309
47.49,65.2,44.1602,15.8051,44.3863,0.660794
47.71,65.9,44.5898,15.8095,44.3863,0.659259
45.92,62.4,43.1402,16.7036,44.3863,0.664362
47.6,65.1,44.2426,15.5208,44.3863,0.661548
47.13,64.9,44.5421,16.8772,44.3863,0.641045
46.9,64,43.9475,16.2804,44.3863,0.669599
48.04,66.2,45.1649,16.1393,44.3863,0.653619
45.72,61.9,42.9666,17.0291,44.3863,0.663244
46.03,62.5,43.648,17.1159,44.3863,0.661607
47.02,64.6,43.648,16.0547,44.3863,0.656584
48.1,66.2,45.2951,15.9657,44.3863,0.659401
45.71,62.1,43.355,17.6628,44.3863,0.66068
46.12,62.9,42.7951,16.3346,44.3863,0.666028
46.39,63.4,43.0534,16.1545,44.3863,0.662344
47.36,65.1,44.3598,15.9744,44.3863,0.66283
47.8,65.5,44.9957,16.1654,44.3863,0.658559
46.89,63.8,43.9887,16.5039,44.3863,0.655682
47.3,63.7,44.0603,15.9787,44.3863,0.654235
47.88,65.6,44.5291,15.8116,45.2389,0.652948
48.69,67,45.7661,15.829,45.2389,0.654475
47.08,64.4,44.0842,16.3867,45.2389,0.661881
48.42,66.8,45.0716,15.3277,45.2028,0.658448
47.53,64.5,45.497,17.1745,45.2028,0.65823
46.39,63,43.4505,16.7079,45.2028,0.658875
47.28,65.3,43.9627,15.8312,45.2028,0.660932
48.17,66,45.6814,16.1849,45.2028,0.662946
45.98,62.3,43.8911,17.3459,45.1667,0.665473
46.79,63.9,44.1298,16.3715,45.1667,0.66885
47.61,65.8,44.1884,15.7986,45.1667,0.660328
47.99,66.1,44.8524,16.365,45.1667,0.644447
48.09,66.2,45.0803,15.8073,45.1667,0.663761
48.82,67.7,45.8941,16.0069,46.0193,0.655251
47.87,66.1,46.0612,16.8576,46.0193,0.670613
48.87,67.1,45.7465,15.4405,46.0193,0.655538
49.23,67.7,46.4128,15.931,46.0193,0.64768
46.35,63.6,44.247,17.5543,46.0193,0.661626
47.11,64.7,43.6979,16.1003,46.0193,0.651046
48.04,66.9,44.2426,15.4883,46.0193,0.65386
47.9,65.9,45.4514,16.5777,46.0193,0.649144
48.08,65.8,45.523,16.1632,45.9832,0.669118
48.79,66.9,45.6793,15.6358,45.9832,0.65447
48.69,67.3,46.2565,16.1328,45.9832,0.665809
48.26,66.6,46.0069,16.6168,45.9832,0.663575
49.14,67.9,46.0959,15.7335,45.9832,0.649085
46.97,63.7,45.1563,17.6302,45.9832,0.660325
47.42,64.5,44.7309,16.3238,45.9832,0.656674
48.11,65,45.3342,15.9787,45.9832,0.660525
50.15,69.3,47.8429,15.6836,45.9832,0.659236
50.15,70.2,47.2873,15.2973,45.9832,0.657579
48.46,66.7,45.8529,16.2478,45.9832,0.66245
49.67,69.3,46.4128,15.4449,45.9832,0.656476
49.87,69.3,47.5803,16.1241,45.9832,0.658508
49.05,67.9,46.5234,16.0482,45.9832,0.655472
